sector,land_type,total_area_hectares,affected_landowners_count,plots_count,current_stage,days_in_current_stage,env_forest_clearance_status,litigation_cases_count,public_objections_count,compensation_disparity_ratio,sia_completed,rr_plan_approved,risk_score,is_delayed,delay_stage
Railways,Commercial,60.76,342,451,Declaration of Acquisition (Sec 19),287,Approved,0,2,0.82,1,0,45.0,0,Rehabilitation & Resettlement
Urban Infrastructure,Residential,64.4,228,549,Physical Possession,102,Approved,0,2,0.99,1,0,32.3,0,Rehabilitation & Resettlement
Highways,Agricultural,122.07,209,447,R&R Implementation,109,Approved,1,6,0.99,1,1,50.2,1,Documentation/Survey
Urban Infrastructure,Residential,13.69,51,95,Survey & Demarcation,96,Pending,0,1,0.74,1,0,64.5,1,Approval
Energy,Commercial,32.62,154,321,Award & Compensation (Sec 23),195,Not Applicable,1,5,0.72,1,1,59.0,1,Compensation
Energy,Residential,50.02,266,545,Physical Possession,123,Not Applicable,2,1,0.71,1,0,75.2,1,Legal
Railways,Agricultural,198.38,498,753,Physical Possession,93,Approved,0,5,0.88,1,1,21.3,0,Documentation/Survey
Industrial,Agricultural,75.73,178,325,Award & Compensation (Sec 23),115,Approved,0,2,0.64,1,1,42.0,0,Compensation
Urban Infrastructure,Agricultural,68.67,98,188,Physical Possession,66,Approved,0,1,0.68,1,1,18.6,0,Compensation
Railways,Commercial,149.3,930,2000,Hearing of Objections (Sec 15),23,Approved,3,2,0.74,1,1,64.2,1,Legal
Irrigation,Government/Barren,78.17,20,45,Declaration of Acquisition (Sec 19),95,Pending,0,4,0.92,1,1,33.3,0,Approval
Industrial,Agricultural,35.58,52,103,Declaration of Acquisition (Sec 19),35,Approved,0,1,0.9,1,1,5.0,0,Possession
Irrigation,Residential,111.74,309,685,Award & Compensation (Sec 23),203,Pending,1,2,1.0,1,1,56.5,1,Approval
Railways,Agricultural,69.55,187,455,Declaration of Acquisition (Sec 19),40,Approved,0,3,0.94,1,0,24.3,0,Rehabilitation & Resettlement
Railways,Commercial,89.67,393,732,R&R Implementation,115,Not Applicable,0,9,0.81,1,1,34.3,0,Compensation
Highways,Agricultural,248.81,392,543,Hearing of Objections (Sec 15),81,Approved,0,5,0.73,1,0,46.3,0,Rehabilitation & Resettlement
Industrial,Agricultural,74.79,139,264,Award & Compensation (Sec 23),218,Approved,0,2,0.88,1,1,32.8,0,Compensation
Railways,Forest,240.55,59,129,Declaration of Acquisition (Sec 19),113,Approved,0,5,0.89,1,1,35.4,0,Compensation
Highways,Residential,57.41,285,444,Preliminary Notification (Sec 11),67,Approved,0,4,0.83,0,1,34.1,0,Documentation/Survey
Energy,Government/Barren,49.3,24,35,Award & Compensation (Sec 23),67,Approved,0,1,0.95,1,1,6.7,0,Rehabilitation & Resettlement
Energy,Government/Barren,14.75,7,11,R&R Implementation,77,Pending,0,2,0.66,1,1,53.4,1,Compensation
Irrigation,Agricultural,292.67,806,1097,Preliminary Notification (Sec 11),20,Not Applicable,2,4,0.63,1,1,45.8,0,Legal
Railways,Agricultural,61.1,170,196,Award & Compensation (Sec 23),30,Pending,0,1,0.78,1,0,56.3,1,Rehabilitation & Resettlement
Industrial,Forest,7.3,2,2,Survey & Demarcation,113,Pending,0,4,0.78,1,1,57.0,1,Approval
Railways,Government/Barren,143.35,75,142,Preliminary Notification (Sec 11),48,Approved,0,4,0.96,1,1,6.9,0,Compensation
Railways,Government/Barren,95.68,41,84,Preliminary Notification (Sec 11),173,Approved,0,0,0.89,1,1,15.6,0,Compensation
Highways,Agricultural,161.45,420,987,R&R Implementation,155,Not Applicable,3,1,0.95,1,0,68.4,1,Legal
Highways,Agricultural,62.54,96,128,Hearing of Objections (Sec 15),54,Pending,3,2,0.98,1,0,62.8,1,Legal
Highways,Commercial,122.31,601,1458,Preliminary Notification (Sec 11),59,Approved,2,7,0.83,1,0,72.5,1,Legal
Urban Infrastructure,Forest,63.19,23,56,Physical Possession,115,Approved,0,3,0.95,1,1,6.7,0,Compensation
Urban Infrastructure,Commercial,51.02,170,217,Physical Possession,31,Not Applicable,0,2,0.94,1,0,17.1,0,Rehabilitation & Resettlement
Railways,Residential,222.52,1263,2802,Physical Possession,15,Not Applicable,3,1,0.9,1,0,56.4,1,Legal
Irrigation,Government/Barren,495.71,154,266,R&R Implementation,31,Pending,0,2,0.94,1,1,26.5,0,Approval
Industrial,Forest,12.94,3,6,Physical Possession,214,Pending,0,2,0.79,1,1,66.9,1,Approval
Urban Infrastructure,Forest,24.53,13,24,Hearing of Objections (Sec 15),39,Pending,1,3,0.96,1,1,48.3,0,Approval
Railways,Residential,166.67,555,965,Survey & Demarcation,20,Approved,1,0,1.04,1,1,11.4,0,Legal
Railways,Forest,70.57,20,40,Preliminary Notification (Sec 11),37,Approved,3,5,0.87,1,1,50.7,1,Legal
Urban Infrastructure,Government/Barren,65.81,32,62,Award & Compensation (Sec 23),62,Pending,3,2,0.93,1,1,63.6,1,Legal
Energy,Government/Barren,23.23,6,13,Award & Compensation (Sec 23),98,Pending,0,1,1.02,1,1,29.7,0,Approval
Energy,Agricultural,20.79,49,102,R&R Implementation,52,Approved,0,3,1.01,1,1,5.0,0,Possession
Energy,Agricultural,9.98,25,33,Declaration of Acquisition (Sec 19),218,Approved,0,0,0.78,1,1,28.7,0,Compensation
Railways,Government/Barren,112.66,43,59,Award & Compensation (Sec 23),35,Approved,2,0,0.74,1,1,63.3,1,Legal
Highways,Agricultural,39.56,105,121,Declaration of Acquisition (Sec 19),156,Pending,0,5,0.79,1,1,41.2,0,Approval
Highways,Residential,167.9,855,1301,Declaration of Acquisition (Sec 19),130,Approved,4,0,0.62,1,0,89.7,1,Legal
Energy,Agricultural,32.5,89,187,Physical Possession,51,Not Applicable,2,2,0.47,1,1,52.6,1,Legal
Railways,Agricultural,144.18,297,487,Hearing of Objections (Sec 15),188,Pending,2,1,0.98,1,0,82.2,1,Legal
Highways,Agricultural,44.72,73,146,Preliminary Notification (Sec 11),59,Not Applicable,0,3,0.88,0,1,29.1,0,Approval
Irrigation,Forest,337.93,120,282,Physical Possession,203,Pending,3,2,0.91,1,0,98.0,1,Legal
Energy,Agricultural,7.0,18,39,Preliminary Notification (Sec 11),161,Approved,3,0,0.97,1,1,44.3,0,Legal
Energy,Agricultural,12.62,16,33,Declaration of Acquisition (Sec 19),37,Approved,0,1,0.88,1,1,13.7,0,Compensation
Irrigation,Forest,63.36,17,18,Declaration of Acquisition (Sec 19),53,Pending,0,0,0.75,1,1,48.9,0,Approval
Railways,Residential,19.46,56,82,Declaration of Acquisition (Sec 19),56,Approved,0,2,0.83,1,0,21.2,0,Compensation
Industrial,Residential,48.06,184,374,Hearing of Objections (Sec 15),56,Pending,3,0,0.98,1,1,59.9,1,Legal
Highways,Agricultural,118.17,164,275,Award & Compensation (Sec 23),37,Pending,0,2,1.02,1,1,20.6,0,Approval
Energy,Forest,47.63,13,25,Award & Compensation (Sec 23),161,Approved,2,1,0.98,1,1,43.4,0,Legal
Highways,Residential,162.53,494,1187,R&R Implementation,145,Not Applicable,0,0,0.77,1,1,13.7,0,Documentation/Survey
Energy,Government/Barren,43.12,21,48,R&R Implementation,93,Not Applicable,0,1,0.97,1,1,5.0,0,Possession
Energy,Agricultural,6.93,14,23,Physical Possession,152,Approved,0,0,1.03,1,1,11.5,0,Rehabilitation & Resettlement
Energy,Agricultural,61.41,130,324,R&R Implementation,140,Not Applicable,0,1,0.6,1,1,38.5,0,Compensation
Urban Infrastructure,Residential,56.82,267,418,Physical Possession,161,Approved,1,2,0.86,1,0,48.9,0,Rehabilitation & Resettlement
Irrigation,Agricultural,280.27,404,695,Declaration of Acquisition (Sec 19),115,Approved,2,8,0.72,1,0,95.8,1,Legal
Irrigation,Forest,152.58,38,64,Award & Compensation (Sec 23),105,Rejected,0,3,1.04,1,1,63.4,1,Approval
Railways,Government/Barren,63.07,23,32,Physical Possession,35,Approved,0,2,0.75,1,1,14.0,0,Compensation
Energy,Agricultural,53.77,139,288,Hearing of Objections (Sec 15),64,Approved,0,0,0.67,1,1,25.9,0,Compensation
Irrigation,Forest,115.46,37,63,Award & Compensation (Sec 23),229,Pending,0,2,0.88,1,1,61.6,1,Approval
Industrial,Residential,28.37,128,242,Declaration of Acquisition (Sec 19),122,Pending,0,2,0.73,1,1,60.3,1,Approval
Urban Infrastructure,Agricultural,10.9,24,28,Declaration of Acquisition (Sec 19),58,Not Applicable,0,1,0.79,1,1,12.4,0,Compensation
Industrial,Forest,15.19,6,11,Physical Possession,170,Pending,0,6,0.71,1,1,86.4,1,Compensation
Urban Infrastructure,Forest,30.49,16,30,Declaration of Acquisition (Sec 19),50,Approved,0,3,0.9,1,1,12.0,0,Compensation
Highways,Agricultural,93.49,203,288,R&R Implementation,96,Approved,0,5,0.86,1,1,13.7,0,Compensation
Highways,Agricultural,181.65,247,400,Hearing of Objections (Sec 15),23,Not Applicable,2,2,1.01,1,1,28.5,0,Legal
Urban Infrastructure,Agricultural,72.29,194,287,Physical Possession,17,Approved,0,0,0.97,1,0,17.9,0,Rehabilitation & Resettlement
Energy,Agricultural,31.28,78,104,Award & Compensation (Sec 23),42,Not Applicable,0,2,0.66,1,0,36.2,0,Compensation
Industrial,Agricultural,40.04,95,220,R&R Implementation,88,Not Applicable,0,9,0.74,1,1,55.6,1,Compensation
Industrial,Residential,17.48,57,77,R&R Implementation,92,Not Applicable,0,0,0.53,1,0,34.0,0,Compensation
Energy,Forest,25.01,13,20,Preliminary Notification (Sec 11),23,Pending,0,7,0.92,0,1,63.0,1,Approval
Industrial,Government/Barren,24.64,6,11,Hearing of Objections (Sec 15),62,Not Applicable,0,1,0.8,1,1,16.2,0,Compensation
Irrigation,Government/Barren,347.48,180,383,Award & Compensation (Sec 23),27,Not Applicable,0,1,0.96,1,0,22.3,0,Rehabilitation & Resettlement
Irrigation,Agricultural,90.29,213,412,Physical Possession,152,Pending,2,1,0.66,1,0,98.0,1,Legal
Irrigation,Agricultural,120.7,315,439,Physical Possession,145,Approved,0,2,0.95,1,0,28.3,0,Rehabilitation & Resettlement
Energy,Commercial,55.36,260,577,Award & Compensation (Sec 23),102,Approved,1,9,0.74,1,1,79.4,1,Compensation
Energy,Commercial,41.19,173,372,Physical Possession,125,Not Applicable,0,5,0.76,1,0,43.7,0,Compensation
Urban Infrastructure,Government/Barren,33.44,16,25,Award & Compensation (Sec 23),82,Not Applicable,3,2,0.97,1,1,43.2,0,Legal
Highways,Commercial,91.12,376,844,Award & Compensation (Sec 23),161,Not Applicable,2,5,0.7,1,1,62.9,1,Legal
Highways,Forest,116.86,48,113,Award & Compensation (Sec 23),77,Approved,0,2,0.76,1,1,32.1,0,Compensation
Railways,Agricultural,194.54,345,789,R&R Implementation,120,Pending,2,0,0.97,1,1,46.5,0,Legal
Irrigation,Forest,90.6,43,76,R&R Implementation,30,Pending,2,5,0.8,1,1,68.9,1,Legal
Energy,Forest,9.0,4,9,Declaration of Acquisition (Sec 19),150,Approved,0,8,0.89,1,1,54.6,1,Possession
Industrial,Agricultural,34.95,93,219,R&R Implementation,91,Approved,0,0,0.79,1,1,23.0,0,Compensation
Industrial,Government/Barren,43.75,12,17,Physical Possession,44,Approved,3,0,0.62,1,1,67.3,1,Legal
Energy,Agricultural,71.44,98,219,Declaration of Acquisition (Sec 19),19,Approved,0,4,0.99,1,0,5.0,0,Rehabilitation & Resettlement
Highways,Agricultural,75.26,174,432,Declaration of Acquisition (Sec 19),111,Approved,0,2,0.96,1,1,5.0,0,Documentation/Survey
Highways,Agricultural,35.7,78,164,R&R Implementation,36,Not Applicable,0,7,0.89,1,0,34.8,0,Compensation
Highways,Forest,65.13,34,75,Hearing of Objections (Sec 15),219,Pending,0,0,0.82,1,1,60.4,1,Approval
Energy,Forest,27.77,8,17,Award & Compensation (Sec 23),102,Pending,0,1,0.99,1,1,48.3,0,Approval
Irrigation,Agricultural,132.25,333,643,Award & Compensation (Sec 23),341,Approved,2,0,0.72,1,0,89.3,1,Legal
Railways,Agricultural,180.48,345,567,Hearing of Objections (Sec 15),51,Pending,0,6,0.76,1,1,65.2,1,Approval
Industrial,Government/Barren,28.96,10,23,Survey & Demarcation,36,Not Applicable,0,2,0.89,1,1,23.1,0,Documentation/Survey
Urban Infrastructure,Residential,55.56,278,661,Award & Compensation (Sec 23),38,Pending,0,2,0.93,1,1,26.6,0,Approval
Energy,Residential,26.32,77,117,Physical Possession,31,Pending,0,7,0.84,1,0,55.5,1,Approval
Irrigation,Forest,55.87,13,24,Award & Compensation (Sec 23),38,Rejected,0,2,0.71,1,1,69.0,1,Approval
Railways,Forest,87.09,40,99,Hearing of Objections (Sec 15),115,Approved,0,3,0.87,1,1,34.0,0,Compensation
Industrial,Government/Barren,63.43,19,26,R&R Implementation,194,Approved,0,2,0.87,1,1,34.4,0,Compensation
Highways,Agricultural,35.77,65,91,Survey & Demarcation,89,Approved,0,4,0.79,1,1,5.0,0,Documentation/Survey
Highways,Agricultural,71.46,162,378,Physical Possession,103,Pending,0,2,0.97,1,0,54.0,1,Approval
Industrial,Commercial,18.57,78,190,Survey & Demarcation,70,Approved,0,0,0.68,1,1,32.8,0,Documentation/Survey
Energy,Agricultural,71.05,149,260,Award & Compensation (Sec 23),47,Not Applicable,1,1,1.01,1,0,30.1,0,Rehabilitation & Resettlement
Railways,Forest,127.7,37,67,Award & Compensation (Sec 23),63,Pending,0,2,0.83,1,1,43.4,0,Approval
Urban Infrastructure,Agricultural,41.55,68,94,Hearing of Objections (Sec 15),70,Approved,0,0,0.62,1,1,25.8,0,Compensation
Railways,Agricultural,45.69,86,137,Preliminary Notification (Sec 11),131,Not Applicable,0,9,0.64,1,1,60.9,1,Compensation
Irrigation,Forest,229.05,97,189,Hearing of Objections (Sec 15),34,Pending,0,7,1.0,1,1,50.2,1,Approval
Energy,Agricultural,7.19,11,26,Physical Possession,50,Approved,0,1,0.89,1,1,9.5,0,Compensation
Irrigation,Agricultural,468.44,625,1135,Declaration of Acquisition (Sec 19),69,Approved,1,4,0.87,1,1,24.3,0,Legal
Highways,Agricultural,103.58,199,254,Award & Compensation (Sec 23),75,Approved,1,0,0.79,1,1,25.2,0,Legal
Highways,Forest,238.05,102,210,Declaration of Acquisition (Sec 19),87,Pending,0,4,0.69,1,1,52.1,1,Approval
Urban Infrastructure,Government/Barren,71.67,32,51,Preliminary Notification (Sec 11),44,Approved,1,0,1.02,1,1,8.0,0,Legal
Urban Infrastructure,Forest,39.01,16,37,Physical Possession,172,Approved,0,2,0.78,1,1,37.7,0,Compensation
Railways,Agricultural,82.1,101,209,Hearing of Objections (Sec 15),45,Approved,0,2,0.62,1,1,23.5,0,Compensation
Railways,Agricultural,183.59,510,750,Physical Possession,250,Approved,0,5,0.94,1,1,15.7,0,Possession
Railways,Residential,68.11,419,860,Declaration of Acquisition (Sec 19),23,Approved,3,4,0.61,1,0,76.7,1,Legal
Urban Infrastructure,Residential,37.47,223,494,Preliminary Notification (Sec 11),42,Approved,0,0,0.88,0,1,33.6,0,Documentation/Survey
Railways,Government/Barren,121.45,51,84,Declaration of Acquisition (Sec 19),199,Approved,3,0,0.66,1,1,84.1,1,Legal
Highways,Agricultural,128.7,294,623,Preliminary Notification (Sec 11),70,Approved,1,2,0.91,1,1,16.4,0,Documentation/Survey
Highways,Agricultural,103.85,182,380,Preliminary Notification (Sec 11),46,Approved,0,0,0.79,1,0,29.5,0,Rehabilitation & Resettlement
Industrial,Residential,38.2,199,271,Physical Possession,35,Approved,0,5,0.74,1,1,15.2,0,Compensation
Highways,Government/Barren,244.39,62,84,Award & Compensation (Sec 23),75,Pending,0,6,0.97,1,0,31.4,0,Approval
Highways,Government/Barren,171.56,87,148,Declaration of Acquisition (Sec 19),17,Pending,0,1,0.92,1,1,14.3,0,Approval
Urban Infrastructure,Agricultural,30.96,86,197,Preliminary Notification (Sec 11),35,Approved,0,2,0.79,0,0,41.0,0,Rehabilitation & Resettlement
Industrial,Forest,23.35,11,13,Physical Possession,52,Pending,0,1,0.72,1,1,53.9,1,Approval
Irrigation,Agricultural,75.8,186,377,R&R Implementation,79,Approved,0,4,0.73,1,0,37.9,0,Rehabilitation & Resettlement
Energy,Commercial,30.67,130,146,R&R Implementation,18,Not Applicable,3,2,0.72,1,0,77.3,1,Legal
Industrial,Agricultural,10.5,15,21,Hearing of Objections (Sec 15),17,Pending,0,1,0.87,1,1,41.0,0,Approval
Industrial,Commercial,76.94,400,979,Declaration of Acquisition (Sec 19),68,Approved,1,3,0.6,1,1,45.0,0,Compensation
Railways,Agricultural,172.95,424,844,Award & Compensation (Sec 23),32,Approved,2,3,0.6,1,1,58.4,1,Legal
Energy,Forest,28.19,12,20,Hearing of Objections (Sec 15),116,Pending,0,3,1.04,1,1,44.7,0,Approval
Industrial,Agricultural,7.82,18,44,Preliminary Notification (Sec 11),16,Approved,0,1,0.68,1,1,27.3,0,Compensation
Irrigation,Agricultural,241.95,381,460,Preliminary Notification (Sec 11),172,Approved,2,1,0.85,1,0,66.4,1,Legal
Urban Infrastructure,Residential,58.18,321,708,Hearing of Objections (Sec 15),308,Approved,3,7,0.83,1,0,98.0,1,Legal
Industrial,Forest,21.84,9,16,Preliminary Notification (Sec 11),312,Pending,0,0,0.84,1,1,66.1,1,Approval
Highways,Government/Barren,25.19,8,18,Physical Possession,15,Approved,4,1,0.78,1,1,52.9,1,Legal
Highways,Agricultural,220.54,302,661,R&R Implementation,52,Approved,0,2,0.75,1,0,33.1,0,Rehabilitation & Resettlement
Energy,Residential,24.58,98,148,Survey & Demarcation,52,Approved,2,0,0.68,0,1,53.9,1,Legal
Urban Infrastructure,Agricultural,13.08,22,44,R&R Implementation,56,Pending,0,2,0.8,1,1,42.8,0,Approval
Energy,Government/Barren,71.46,32,64,Preliminary Notification (Sec 11),252,Not Applicable,0,1,1.01,1,1,9.4,0,Documentation/Survey
Urban Infrastructure,Agricultural,30.26,78,186,Physical Possession,30,Approved,1,0,0.97,1,1,10.0,0,Legal
Highways,Residential,172.53,731,1271,Survey & Demarcation,324,Not Applicable,2,0,0.94,0,1,45.3,0,Legal
Urban Infrastructure,Commercial,22.62,78,164,Preliminary Notification (Sec 11),72,Not Applicable,5,2,0.71,1,0,69.4,1,Legal
Irrigation,Commercial,236.11,1344,2721,R&R Implementation,36,Approved,0,1,0.92,1,1,5.0,0,Documentation/Survey
Railways,Commercial,162.8,638,1480,Declaration of Acquisition (Sec 19),113,Approved,2,5,0.86,1,0,59.1,1,Legal
Irrigation,Forest,407.49,110,134,Survey & Demarcation,33,Rejected,1,4,0.88,1,1,72.4,1,Approval
Highways,Commercial,155.59,617,1186,Preliminary Notification (Sec 11),76,Pending,2,2,0.98,1,1,43.1,0,Legal
Railways,Agricultural,56.39,128,263,Declaration of Acquisition (Sec 19),224,Approved,0,0,1.09,1,1,16.5,0,Possession
Urban Infrastructure,Agricultural,6.56,9,20,Declaration of Acquisition (Sec 19),52,Pending,0,1,0.75,1,1,43.2,0,Approval
Industrial,Agricultural,25.1,48,86,Preliminary Notification (Sec 11),133,Approved,6,2,0.91,0,1,48.7,0,Legal
Railways,Agricultural,89.67,216,449,Award & Compensation (Sec 23),50,Approved,0,5,0.91,1,1,5.0,0,Documentation/Survey
Industrial,Residential,12.28,42,52,Hearing of Objections (Sec 15),369,Pending,0,1,0.65,1,1,78.4,1,Approval
Highways,Residential,51.11,218,367,Award & Compensation (Sec 23),96,Approved,1,0,0.94,1,0,43.9,0,Rehabilitation & Resettlement
Energy,Government/Barren,38.17,15,21,Declaration of Acquisition (Sec 19),111,Approved,0,1,0.72,1,1,34.6,0,Compensation
Highways,Agricultural,86.82,113,169,Survey & Demarcation,83,Pending,0,0,0.78,1,1,39.0,0,Approval
Energy,Government/Barren,48.15,19,38,Hearing of Objections (Sec 15),24,Approved,1,0,0.7,1,1,40.5,0,Legal
Highways,Agricultural,91.76,136,196,Survey & Demarcation,46,Approved,5,1,0.87,0,1,49.0,0,Legal
Irrigation,Government/Barren,152.21,77,191,Physical Possession,53,Approved,0,1,0.96,1,1,5.0,0,Compensation
Irrigation,Agricultural,298.47,819,1025,Declaration of Acquisition (Sec 19),19,Not Applicable,0,4,0.97,1,1,5.0,0,Documentation/Survey
Highways,Forest,181.44,87,210,Hearing of Objections (Sec 15),92,Pending,0,5,0.83,1,1,69.7,1,Approval
Irrigation,Residential,102.55,615,1274,Declaration of Acquisition (Sec 19),162,Approved,1,3,0.78,1,1,35.4,0,Compensation
Irrigation,Forest,126.87,65,123,Physical Possession,37,Pending,0,5,0.91,1,1,41.4,0,Approval
Energy,Agricultural,79.13,133,288,Award & Compensation (Sec 23),257,Approved,0,4,0.55,1,1,46.3,0,Compensation
Energy,Commercial,27.67,115,165,Physical Possession,73,Not Applicable,1,0,0.85,1,0,40.4,0,Rehabilitation & Resettlement
Highways,Agricultural,240.88,304,504,Preliminary Notification (Sec 11),111,Approved,0,4,0.72,0,0,78.1,1,Rehabilitation & Resettlement
Urban Infrastructure,Residential,46.33,228,486,Award & Compensation (Sec 23),26,Approved,0,2,0.89,1,1,15.3,0,Documentation/Survey
Energy,Agricultural,6.3,17,27,Preliminary Notification (Sec 11),100,Approved,0,0,0.87,1,1,22.2,0,Compensation
Railways,Agricultural,203.86,254,503,R&R Implementation,265,Approved,1,6,0.73,1,1,77.6,1,Possession
Railways,Agricultural,103.79,255,325,Survey & Demarcation,41,Approved,0,4,1.02,0,0,16.1,0,Rehabilitation & Resettlement
Urban Infrastructure,Forest,27.77,9,19,Declaration of Acquisition (Sec 19),60,Pending,1,2,0.63,1,1,78.4,1,Approval
Highways,Residential,45.02,151,185,Declaration of Acquisition (Sec 19),31,Not Applicable,0,0,0.97,1,1,5.0,0,Rehabilitation & Resettlement
Energy,Residential,56.1,221,463,Preliminary Notification (Sec 11),205,Approved,1,1,0.85,1,1,40.9,0,Legal
Railways,Agricultural,84.93,220,467,Preliminary Notification (Sec 11),77,Not Applicable,2,1,0.66,1,0,66.4,1,Legal
Railways,Agricultural,114.0,296,354,Preliminary Notification (Sec 11),210,Approved,0,8,0.86,1,1,50.1,1,Possession
Urban Infrastructure,Agricultural,56.86,105,237,Declaration of Acquisition (Sec 19),133,Approved,0,6,1.04,1,1,26.5,0,Possession
Industrial,Agricultural,49.44,90,216,Preliminary Notification (Sec 11),236,Not Applicable,2,0,0.7,1,1,66.3,1,Legal
Irrigation,Agricultural,289.08,455,1093,Survey & Demarcation,79,Pending,2,2,0.92,1,1,53.8,1,Legal
Energy,Residential,32.8,108,256,Award & Compensation (Sec 23),18,Approved,0,2,0.88,1,1,16.6,0,Compensation
Highways,Commercial,139.27,470,917,Hearing of Objections (Sec 15),43,Not Applicable,0,0,0.95,1,0,18.9,0,Rehabilitation & Resettlement
Irrigation,Government/Barren,87.35,41,81,Survey & Demarcation,359,Approved,0,2,0.81,1,1,30.3,0,Documentation/Survey
Industrial,Forest,17.52,4,7,Physical Possession,318,Pending,0,7,0.91,1,1,82.5,1,Approval
Highways,Commercial,89.83,283,467,R&R Implementation,42,Pending,1,5,0.91,1,0,57.1,1,Rehabilitation & Resettlement
Highways,Government/Barren,43.91,14,16,R&R Implementation,102,Approved,1,1,0.63,1,1,45.5,0,Compensation
Energy,Agricultural,23.15,50,104,Hearing of Objections (Sec 15),86,Pending,0,1,0.77,1,1,34.3,0,Approval
Railways,Agricultural,159.16,359,816,R&R Implementation,63,Not Applicable,0,4,0.81,1,0,35.2,0,Rehabilitation & Resettlement
Highways,Agricultural,161.51,373,911,Survey & Demarcation,59,Approved,0,1,0.98,0,1,5.0,0,Documentation/Survey
Railways,Agricultural,134.64,183,363,Physical Possession,112,Pending,0,3,0.75,1,1,49.3,0,Approval
Industrial,Government/Barren,47.73,14,25,Survey & Demarcation,177,Not Applicable,0,1,0.96,0,1,5.1,0,Documentation/Survey
Irrigation,Commercial,493.3,2732,5902,Award & Compensation (Sec 23),345,Not Applicable,0,0,0.73,1,1,53.3,1,Documentation/Survey
Railways,Agricultural,126.6,154,223,Physical Possession,28,Approved,3,1,0.98,1,1,41.2,0,Legal
Railways,Government/Barren,225.19,98,207,Preliminary Notification (Sec 11),91,Approved,0,1,0.62,1,1,37.9,0,Compensation
Irrigation,Residential,94.46,470,612,Hearing of Objections (Sec 15),93,Pending,0,2,0.86,1,1,44.0,0,Approval
Urban Infrastructure,Commercial,53.43,185,312,R&R Implementation,94,Approved,0,5,0.78,1,1,21.5,0,Documentation/Survey
Highways,Agricultural,198.17,312,733,Hearing of Objections (Sec 15),226,Approved,2,4,0.73,1,1,72.2,1,Legal
Energy,Forest,61.45,15,25,Preliminary Notification (Sec 11),167,Pending,1,3,0.81,1,1,71.4,1,Approval
Industrial,Agricultural,79.91,110,146,Survey & Demarcation,36,Not Applicable,0,0,0.85,0,0,28.9,0,Rehabilitation & Resettlement
Railways,Agricultural,78.42,104,253,Award & Compensation (Sec 23),140,Not Applicable,0,2,0.8,1,1,32.3,0,Compensation
Railways,Forest,168.11,72,109,Survey & Demarcation,51,Approved,0,4,0.72,1,1,41.6,0,Documentation/Survey
Irrigation,Forest,497.02,231,490,Declaration of Acquisition (Sec 19),143,Approved,0,2,0.87,1,0,54.7,1,Rehabilitation & Resettlement
Industrial,Forest,78.25,21,24,Survey & Demarcation,55,Pending,0,2,0.85,1,1,51.4,1,Approval
Railways,Agricultural,134.82,220,532,Hearing of Objections (Sec 15),18,Approved,2,5,0.96,1,1,12.1,0,Legal
Railways,Agricultural,19.27,39,56,Survey & Demarcation,62,Approved,0,0,1.07,1,1,5.0,0,Documentation/Survey
Industrial,Residential,22.63,116,160,Physical Possession,39,Approved,0,2,0.86,1,1,16.0,0,Compensation
Irrigation,Government/Barren,160.22,41,97,Declaration of Acquisition (Sec 19),115,Not Applicable,0,2,0.61,1,1,42.5,0,Compensation
Railways,Commercial,87.63,543,741,Physical Possession,172,Approved,0,5,0.89,1,0,38.4,0,Rehabilitation & Resettlement
Irrigation,Agricultural,74.15,95,122,R&R Implementation,115,Not Applicable,0,2,0.85,1,0,12.3,0,Rehabilitation & Resettlement
Highways,Forest,91.32,25,35,R&R Implementation,43,Rejected,0,2,0.88,1,1,69.7,1,Approval
Energy,Agricultural,75.37,166,365,Declaration of Acquisition (Sec 19),416,Not Applicable,0,8,0.88,1,1,54.1,1,Possession
Railways,Agricultural,148.43,413,816,Preliminary Notification (Sec 11),65,Approved,2,6,0.88,1,1,53.3,1,Legal
Urban Infrastructure,Residential,78.39,329,462,Preliminary Notification (Sec 11),168,Pending,0,0,1.06,1,1,35.3,0,Approval
Irrigation,Forest,473.09,228,490,Preliminary Notification (Sec 11),213,Pending,2,1,0.86,1,1,98.0,1,Legal
Energy,Government/Barren,68.92,26,59,Declaration of Acquisition (Sec 19),145,Approved,0,0,0.83,1,1,27.6,0,Compensation
Railways,Agricultural,185.62,483,1041,Hearing of Objections (Sec 15),41,Approved,0,2,0.67,1,0,49.8,0,Rehabilitation & Resettlement
Industrial,Commercial,14.28,73,142,Physical Possession,363,Pending,3,5,0.8,1,0,95.2,1,Legal
Irrigation,Agricultural,398.36,699,865,Physical Possession,146,Approved,1,4,0.99,1,1,16.8,0,Possession
Irrigation,Agricultural,273.5,372,789,Preliminary Notification (Sec 11),27,Not Applicable,2,0,0.85,1,1,28.0,0,Legal
Highways,Agricultural,177.12,424,816,Physical Possession,134,Approved,0,5,0.83,1,1,15.3,0,Documentation/Survey
Urban Infrastructure,Government/Barren,14.04,4,6,R&R Implementation,22,Approved,0,0,0.82,1,1,5.4,0,Compensation
Energy,Residential,63.44,278,630,Survey & Demarcation,41,Approved,0,4,0.93,1,1,5.0,0,Documentation/Survey
Highways,Agricultural,143.55,327,687,Hearing of Objections (Sec 15),113,Approved,1,2,0.88,1,1,40.2,0,Documentation/Survey
